dataset,crsid,source_url,donorcode,donorname,oecd_website,agencycode,agencyname,agency_web,agency_projectspage,projecttitle,project_descrip,projectnumber,country_name,commitment_year,usd_commitment_defl_total,data_amount_unit,year,initialreport,recipientcode,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_irtc,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,grantequiv,usd_grantequiv,shortdescription,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,parentchannelcode,geography,ldcflag,ldcflagname,expectedstartdate,completiondate,longdescription,sdgfocus,keywords,gender,environment,dig,trade,rmnch,drr,nutrition,disability,ftc,pba,investmentproject,assocfinance,biodiversity,climatemitigation,climateadaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,capitalexpend,psiflag,psiaddtype,psiaddassess,psiadddevobj,id,crs_total,irrigation_title,irrigation_descr,irrigation_shortDes,irrigation_crs,irrig_tit_des,irrigation_keyword,irrigation_commitments,crs_irri_total,dup
CRS,2002000632z,,9,Portugal,https://www.oecd-ilibrary.org/sites/12c61cf7-en/index.html?itemId=/content/component/12c61cf7-en,2,Camões-Institute for Cooperation and Language,https://www.instituto-camoes.pt/en/,,LINHA INICIATIVAS COMPLEMENTARES - PUBLICAÇÃO DO ESTUDO INVENTARIAÇÃO DOS RECURSOS EM TERRAS COM APTIDÃO PARA REGADIO DAS GRANDES BACIAS HIDROGRÁFICAS DE ANGOLA,Short: AGRICULTURAL WATER RESOURCES Long: ,05329,Angola,2002,68550,"USD, constant 2021",2002,1,225,10003,South of Sahara,10016,LDCs,11,ODA Grants,1,10,110,,.019052999,.019052999,0,.033225998,.033225998,0,,,,,,,,,,,,,918,.020217,.020217,,,AGRICULTURAL WATER RESOURCES,31140,Agricultural water resources,311,III.1.a. Agriculture,,,ANGOLA,,,,,,,,,,0,1,0,,,,,,,,,,0,0,,1,2002-12-31,,,,,,,0,0,0,0,,,,,,CRS 2002-03 data,14628537344,0,0,0,1,0,1,.033225998,12554838,1
CRS,2010008988,,9,Portugal,https://www.oecd-ilibrary.org/sites/12c61cf7-en/index.html?itemId=/content/component/12c61cf7-en,2,Camões-Institute for Cooperation and Language,https://www.instituto-camoes.pt/en/,,Repair Properties of Irrigation Systems,Short: REPAIR PROPERTIES OF IRRIGATION SYSTEMS Long: Improved quality of life of 20 landowners and their families affected by the rains in the Valley of Fires,008988,Cabo Verde,,44316,"USD, constant 2021",2010,8,230,10003,South of Sahara,10018,LMICs,11,ODA Grants,1,10,110,D02,.042987,.042987,0,.044316001,.044316001,0,,,.042987,0,0,.044316001,0,0,0,,,,918,.032455001,.032455001,,,REPAIR PROPERTIES OF IRRIGATION SYSTEMS,14010,Water sector policy and administrative management,140,I.4. Water Supply & Sanitation,11000,Donor Government,Donor Government,11000,National,,,2010-01-01,2010-12-31,Improved quality of life of 20 landowners and their families affected by the rains in the Valley of Fires,,,0,1,0,0,,,,,1,,,,0,0,1,1,,,,,,,,,,,,,,,,,CRS 2010 data,4820976640,1,0,1,0,1,1,.044316001,43157284,0
CRS,2014010664,,9,Portugal,https://www.oecd-ilibrary.org/sites/12c61cf7-en/index.html?itemId=/content/component/12c61cf7-en,99,Miscellaneous,,,NGO ADPM - A Sustainable Development for Chã de Norte,"Short: NGO ADPM - A SUSTAINABLE DEVELOPMENT FOR CHÃ DE NORTE Long: Install adaptation technologies to climate change in agriculture, To promote community capacity building and access to information, Increase the participation of women in active community life. The project includes a reweable energy system instalation to capture and pumping water for irrigation and several training actions in sustainable agriculture, renewable energy, energy efficiency, processing of agricultural products and management of community projects.",010664,Cabo Verde,2015,17990,"USD, constant 2021",2015,3,230,10003,South of Sahara,10018,LMICs,11,ODA Grants,1,10,110,C01,.015252,.015252,0,.017990001,.017990001,0,,,.015252,0,0,.017990001,0,0,,,,,918,.01375,.01375,.01375,.015252,NGO ADPM - A SUSTAINABLE DEVELOPMENT FOR CHÃ DE NORTE,43040,Rural development,430,IV.2. Other Multisector,22000,Donor country-based NGO,DONOR COUNTRY-BASED NGOs,22000,Chã do Norte,,,2014-09-01,2016-12-31,"Install adaptation technologies to climate change in agriculture, To promote community capacity building and access to information, Increase the participation of women in active community life. The project includes a reweable energy system instalation to capture and pumping water for irrigation and several training actions in sustainable agriculture, renewable energy, energy efficiency, processing of agricultural products and management of community projects.",,,1,2,0,0,,,,,,,,,0,1,2,1,2015-01-01,,,,,,,,,,,,,,,,CRS 2015 data,4820976640,0,1,0,0,1,1,.017990001,43157284,0
CRS,2004000564z,,9,Portugal,https://www.oecd-ilibrary.org/sites/12c61cf7-en/index.html?itemId=/content/component/12c61cf7-en,2,Camões-Institute for Cooperation and Language,https://www.instituto-camoes.pt/en/,,INSTALLMENT OF THE DRIP IRRIGATION,Short: INSTALLMENT OF THE DRIP IRRIGATION Long: ,06200,Guinea-Bissau,2004,45146,"USD, constant 2021",2004,1,244,10003,South of Sahara,10016,LDCs,11,ODA Grants,1,10,110,,.036145002,.036145002,0,.045146,.045146,0,,,.036145002,,,.045146,,,,,,,918,.029092999,.029092999,,,INSTALLMENT OF THE DRIP IRRIGATION,31140,Agricultural water resources,311,III.1.a. Agriculture,,,MSST - MINISTRY OF SOCIAL SOLIDARITY AND EMPLOYMENT,,Blassar - Bissorã in Bissau,,,,,,,,0,1,0,,,,,,1,,,,,,,1,2004-12-31,,,,,,,0,0,0,0,,,,,,CRS 2004-05 data,2573003264,1,0,1,1,1,1,.045146,23118926,0
CRS,2021000514,,9,Portugal,https://www.oecd-ilibrary.org/sites/12c61cf7-en/index.html?itemId=/content/component/12c61cf7-en,2,Camões-Institute for Cooperation and Language,https://www.instituto-camoes.pt/en/,,FECOP - Business Fund for Portuguese Cooperation: Support for the private setor - Support to a small enterprise in the agriculture sector,"Short: FECOP - BUSINESS FUND FOR PORTUGUESE COOPERATION: SUPPORT FOR THE PRIVATE SETOR - SUPPORT TO A SMALL ENTERPRISE IN THE AGRICULTURE SECTOR Long: The FECOP aims to finance projects promoted by medium, small and micro-enterprises and associations of Mozambique relevant to the strengthening of the country's economic structure.Support to local private investments through a mixed package that gathers",012916,Mozambique,2021,3951,"USD, constant 2021",2021,1,259,10003,South of Sahara,10016,LDCs,11,ODA Grants,1,10,210,C01,.003951,.003951,0,.003951,.003951,0,,,.003951,0,0,.003951,0,0,,,,,918,.0033410001,.0033410001,.0033410001,.003951,FECOP - BUSINESS FUND FOR PORTUGUESE COOPERATION: SUPPORT FOR THE PRIVATE SETOR - SUPPORT TO A SMALL ENTERPRISE IN THE AGRICULTURE SECTOR,31140,Agricultural water resources,311,III.1.a. Agriculture,62001,Banks (deposit taking corporations except Micro Finance Institutions),Banks (deposit taking corporations except Micro Finance Institutions),62000,National,,,2021-01-01,2021-12-31,"The FECOP aims to finance projects promoted by medium, small and micro-enterprises and associations of Mozambique relevant to the strengthening of the country's economic structure.Support to local private investments through a mixed package that gathers",2.4000001,,0,0,0,,0,0,,,,,,,0,0,0,0,2021-01-01,,,,,,,0,0,0,0,,,,,,CRS 2021 data,48961052672,0,0,0,1,0,1,.003951,398809440,0
CRS,2002000146z,,9,Portugal,https://www.oecd-ilibrary.org/sites/12c61cf7-en/index.html?itemId=/content/component/12c61cf7-en,2,Camões-Institute for Cooperation and Language,https://www.instituto-camoes.pt/en/,,SUPPORT TO THE STUDY OF MACHONGOS AND THE STUDY AND ESTABLISHMENT OF IRRIGATION IN CHOKWÉ/GAZA - PROAGRI,"Short: STUDY OF MACHONGOS, STUDY/ESTABLISHMENT OF IRRIGATION IN CHOKWÉ/GAZA Long: IMPROVE THE GLOBAL MANAGEMENT SYSTEM OF CHOKWÉ IRRIGATED AREA, ESTABLISHING AND REGULATING NEW INSTITUTIONS ACCOUNTABLE FOR THE SUSTAINABLE ECONOMIC ADMINISTRATION OF WATER/",01472,Mozambique,2002,34692,"USD, constant 2021",2002,1,259,10003,South of Sahara,10016,LDCs,11,ODA Grants,1,10,110,,.019894,.019894,0,.034692001,.034692001,0,,,,,,,,,,,,,918,.021109,.021109,,,"STUDY OF MACHONGOS, STUDY/ESTABLISHMENT OF IRRIGATION IN CHOKWÉ/GAZA",31140,Agricultural water resources,311,III.1.a. Agriculture,,,MOZAMBIQUE,,,,,2000-01-01,2000-01-12,"IMPROVE THE GLOBAL MANAGEMENT SYSTEM OF CHOKWÉ IRRIGATED AREA, ESTABLISHING AND REGULATING NEW INSTITUTIONS ACCOUNTABLE FOR THE SUSTAINABLE ECONOMIC ADMINISTRATION OF WATER/",,,0,1,0,,,,,,1,,,,1,0,,2,2002-12-31,,,,,,,0,0,0,0,,,,,,CRS 2002-03 data,48961052672,1,1,1,1,1,1,.034692001,398809440,0
CRS,2001000299z,,9,Portugal,https://www.oecd-ilibrary.org/sites/12c61cf7-en/index.html?itemId=/content/component/12c61cf7-en,2,Camões-Institute for Cooperation and Language,https://www.instituto-camoes.pt/en/,,ESTUDO DOS MACHONGOS E OPERACIONALIZAÇÃO DO REGADIO DO CHOKWÉ,"Short: AGRICULTURAL WATER RESOURCES Long: Fornecer à DPAP informação e propostas de aproveitamento das áreas com drenagem deficiente e dotar o perímetro de rega do Chókwè com orgãos de gestão adequados, à medida que a recuperação física for avançando",02257,Mozambique,2001,30647,"USD, constant 2021",2001,1,259,10003,South of Sahara,10016,LDCs,11,ODA Grants,1,10,110,,.016028,.015225,0,.030647,.029111,0,,,,,,,,,,,,,918,.017897001,.017000001,,,AGRICULTURAL WATER RESOURCES,31140,Agricultural water resources,311,III.1.a. Agriculture,,,MADRP,,,,,1998-01-01,2000-12-01,"Fornecer à DPAP informação e propostas de aproveitamento das áreas com drenagem deficiente e dotar o perímetro de rega do Chókwè com orgãos de gestão adequados, à medida que a recuperação física for avançando",,,0,1,0,,,,,,1,,,,1,0,,2,2001-12-31,,,,,,,0,0,0,0,,,,,,CRS 2000-01 data,48961052672,0,0,0,1,0,1,.030647,398809440,0
CRS,2002000557z,,9,Portugal,https://www.oecd-ilibrary.org/sites/12c61cf7-en/index.html?itemId=/content/component/12c61cf7-en,2,Camões-Institute for Cooperation and Language,https://www.instituto-camoes.pt/en/,,INCENTIVOS - ESTUDO PARA ELABORAÇÃO DE PROPOSTA PARA O CONCURSO MASSINGIR DAM AND SMALLHOLDER AGRICULTURAL REHABILITATION PROJECT (MDSAR) / REVIEW OF TENDER DOCUMENTS ENGINEERING AND CONSTRUCTION SUPERVISION FOR DAM REHABILITATION,"Short: DAM REHABILITATION: TENDER DOCUMENTS ENGINEERING, CONSTRUCT/ SUPERVISION Long: ",04948,Mozambique,2002,4783,"USD, constant 2021",2002,1,259,10003,South of Sahara,10016,LDCs,11,ODA Grants,1,10,110,,.0027419999,.0027419999,0,.0047829999,.0047829999,0,,,,,,,,,,,,,918,.00291,.00291,,,"DAM REHABILITATION: TENDER DOCUMENTS ENGINEERING, CONSTRUCT/ SUPERVISION",31140,Agricultural water resources,311,III.1.a. Agriculture,,,MOZAMBIQUE,,,,,,,,,,0,0,0,,,,,,,,,,,,,,2002-12-31,,,,,,,0,0,0,0,,,,,,CRS 2002-03 data,48961052672,0,0,0,1,0,1,.0047829999,398809440,0
CRS,2006000595z,,9,Portugal,https://www.oecd-ilibrary.org/sites/12c61cf7-en/index.html?itemId=/content/component/12c61cf7-en,2,Camões-Institute for Cooperation and Language,https://www.instituto-camoes.pt/en/,,BUÉ MARIA  DAM,"Short: RIVER DEVELOPMENT Long: THE BUÉ MARIA MARIA DAM  WILL FUNCTION AS A RESERVOIR FOR THE FLOWS SURFACE OF THE PÚNGOÊ RIVER, ASSURING THE WATER SUPPLY TO BEIRA, THE IRRIGATION OF AGRICULTURAL FIELDS, THE PRODUCTION OF ELECTRIC ENERGY, AS WELL AS AN EFFECTIVE CONTROL OF THE FLOODS.",06748,Mozambique,2006,3522,"USD, constant 2021",2006,1,259,10003,South of Sahara,10016,LDCs,11,ODA Grants,1,10,110,C01,.0030380001,.0030380001,0,.003522,.003522,0,,,0,,.0030380001,0,,.003522,,,,,918,.00242,.00242,,,RIVER DEVELOPMENT,14040,River basins development,140,I.4. Water Supply & Sanitation,10000,Public Sector Institutions,PUBLIC SECTOR,10000,Sofala,,,2005-01-01,,"THE BUÉ MARIA MARIA DAM  WILL FUNCTION AS A RESERVOIR FOR THE FLOWS SURFACE OF THE PÚNGOÊ RIVER, ASSURING THE WATER SUPPLY TO BEIRA, THE IRRIGATION OF AGRICULTURAL FIELDS, THE PRODUCTION OF ELECTRIC ENERGY, AS WELL AS AN EFFECTIVE CONTROL OF THE FLOODS.",,,0,0,0,,,,,,,,1,,0,0,,0,2006-12-31,,,,,,,0,0,0,0,,,,,,CRS 2006 data,48961052672,0,1,0,0,1,1,.003522,398809440,0
CRS,2000000250z,,9,Portugal,https://www.oecd-ilibrary.org/sites/12c61cf7-en/index.html?itemId=/content/component/12c61cf7-en,2,Camões-Institute for Cooperation and Language,https://www.instituto-camoes.pt/en/,,APOIO AO ESTUDO DOS MACHONGOS E AO ESTUDO E CONCRETIZAÇÃO  DE METODOLOGIAS DE OPERACIONALIZAÇÃO DO FUNCIONAMENTO DO REGADIO DO CHOKWÉ / GAZA -  PROAGRI,"Short: ÉTUDE DU MACHONGOS,TERRE IRRIGUÉE DE CHOKWÉ/GAZA - PROAGRI Long: APPUI à l'ÉTUDE du MACHONGOS et à l'ÉTUDE et À LA CONCRÉTISATION DES MÉTHODOLOGIES D'OPERATIONALISATION du FONCTIONNEMENT de la TERRE IRRIGUÉE de CHOKWÉ/GAZA - PROAGRI",1472,Mozambique,2000,45223,"USD, constant 2021",2000,1,259,10003,South of Sahara,10016,LDCs,11,ODA Grants,1,10,110,,.023467001,,,.045223001,,,,,,,,,,,,,,,918,.025464,,,,"ÉTUDE DU MACHONGOS,TERRE IRRIGUÉE DE CHOKWÉ/GAZA - PROAGRI",31140,Agricultural water resources,311,III.1.a. Agriculture,,,,,,,,2000-01-01,2000-01-12,APPUI à l'ÉTUDE du MACHONGOS et à l'ÉTUDE et À LA CONCRÉTISATION DES MÉTHODOLOGIES D'OPERATIONALISATION du FONCTIONNEMENT de la TERRE IRRIGUÉE de CHOKWÉ/GAZA - PROAGRI,,,0,2,0,,,,,,1,,,,,,,,2000-12-31,,,,,,,,,,,,,,,,CRS 2000-01 data,48961052672,0,1,1,1,1,1,.045223001,398809440,0
