dataset,crsid,source_url,donorcode,donorname,oecd_website,agencycode,agencyname,agency_web,agency_projectspage,projecttitle,project_descrip,projectnumber,country_name,commitment_year,usd_commitment_defl_total,data_amount_unit,year,initialreport,recipientcode,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_irtc,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,grantequiv,usd_grantequiv,shortdescription,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,parentchannelcode,geography,ldcflag,ldcflagname,expectedstartdate,completiondate,longdescription,sdgfocus,keywords,gender,environment,dig,trade,rmnch,drr,nutrition,disability,ftc,pba,investmentproject,assocfinance,biodiversity,climatemitigation,climateadaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,capitalexpend,psiflag,psiaddtype,psiaddassess,psiadddevobj,id,crs_total,irrigation_title,irrigation_descr,irrigation_shortDes,irrigation_crs,irrig_tit_des,irrigation_keyword,irrigation_commitments,crs_irri_total,dup
CRS,2021000441,,75,Hungary,https://www.oecd-ilibrary.org/sites/a80b014d-en/index.html?itemId=/content/component/a80b014d-en,2,Ministry of Foreign Affairs and Trade,https://kormany.hu/kulgazdasagi-es-kulugyminiszterium,,Cabo Verde I. water management and irrigation development,"Short: CABO VERDE I. WATER MANAGEMENT AND IRRIGATION DEVELOPMENT Long: CaboVerde,Water and irrigation management, production of water suitable for irrigation from polluted and seawater,2021 - ongoing",2021000441,Cabo Verde,2021,9505152,"USD, constant 2021",2021,1,230,10003,South of Sahara,10018,LMICs,11,ODA Grants,1,10,110,C01,9.5051517,9.5051517,,9.5051517,9.5051517,,,,9.5051517,,,9.5051517,,,,,,,302,9.5051517,9.5051517,9.5051517,9.5051517,CABO VERDE I. WATER MANAGEMENT AND IRRIGATION DEVELOPMENT,31140,Agricultural water resources,311,III.1.a. Agriculture,61008,Exporters,VTK Innosystem Ltd.,61000,,,,,,"CaboVerde,Water and irrigation management, production of water suitable for irrigation from polluted and seawater,2021 - ongoing",,,0,2,,,,,,,,,,,0,2,2,1,2021-04-15,,,,,,,,,,,,,,,,CRS 2021 data,4820976640,1,1,1,1,1,1,9.5051517,43157284,0
CRS,2019000027,,75,Hungary,https://www.oecd-ilibrary.org/sites/a80b014d-en/index.html?itemId=/content/component/a80b014d-en,2,Ministry of Foreign Affairs and Trade,https://kormany.hu/kulgazdasagi-es-kulugyminiszterium,,Cooperation in the field of irrigated cultivation,Short: COOPERATION IN THE FIELD OF IRRIGATED CULTIVATION Long: Preparation of the cooperation aiming at the bilateral development of the irrigated farming.,2019000027,Mexico,2019,2509,"USD, constant 2021",2019,1,358,10005,Caribbean & Central America,10019,UMICs,11,ODA Grants,1,10,110,D01,.0023139999,.0023139999,,.002509,.002509,,,,,,.0023139999,,,.002509,,,,,302,.0023139999,.0023139999,.0023139999,.0023139999,COOPERATION IN THE FIELD OF IRRIGATED CULTIVATION,31140,Agricultural water resources,311,III.1.a. Agriculture,11001,Central Government,National Agricultural Research and Innovation Centre,11000,,,,,,Preparation of the cooperation aiming at the bilateral development of the irrigated farming.,15,,0,1,1,0,0,0,,,1,,,,1,1,1,1,2019-09-19,,,,,,,,,,,,,,,,CRS 2019 data,89057738752,1,1,1,1,1,1,.002509,411283040,0
CRS,2020000507,,75,Hungary,https://www.oecd-ilibrary.org/sites/a80b014d-en/index.html?itemId=/content/component/a80b014d-en,2,Ministry of Foreign Affairs and Trade,https://kormany.hu/kulgazdasagi-es-kulugyminiszterium,,Installation of a drought and water scarcity management system and demonstration station,"Short: INSTALLATION OF A DROUGHT AND WATER SCARCITY MANAGEMENT SYSTEM AND DEMONSTRATION STATION Long: The project's aim is to establish an evaluation, forecast and warning system in Mongolia.",2020000507,Mongolia,2020,52597,"USD, constant 2021",2020,1,753,10008,Far East Asia,10018,LMICs,11,ODA Grants,1,10,110,C01,.048702002,.048702002,,.052597001,.052597001,,,,.048702002,,,.052597001,,,,,,,302,.048702002,.048702002,.048702002,.048702002,INSTALLATION OF A DROUGHT AND WATER SCARCITY MANAGEMENT SYSTEM AND DEMONSTRATION STATION,31140,Agricultural water resources,311,III.1.a. Agriculture,61008,Exporters,VIZITERV Export Kft.,61000,,,,,,"The project's aim is to establish an evaluation, forecast and warning system in Mongolia.",6.5,,0,2,0,0,0,0,,,1,,1,,0,2,2,2,2020-11-30,,,,,,,,,,,,,,,,CRS 2020 data,16215731200,0,0,0,1,0,1,.052597001,57543872,0
CRS,2021000395,,75,Hungary,https://www.oecd-ilibrary.org/sites/a80b014d-en/index.html?itemId=/content/component/a80b014d-en,99,Miscellaneous,,,The modeling of agricultural water management in Vojvodina,"Short: THE MODELING OF AGRICULTURAL WATER MANAGEMENT IN VOJVODINA Long: development of a GIS-based planning tool to support agricultural planning at a high level, more efficient irrigation",2021000395,Serbia,2021,114792,"USD, constant 2021",2021,1,63,10010,Europe,10019,UMICs,11,ODA Grants,1,10,110,C01,.114792,.114792,,.114792,.114792,,,,.114792,,,.114792,,,,,,,302,.114792,.114792,.114792,.114792,THE MODELING OF AGRICULTURAL WATER MANAGEMENT IN VOJVODINA,31120,Agricultural development,311,III.1.a. Agriculture,61008,Exporters,LAC IMPEX Ltd.,61000,,,,,,"development of a GIS-based planning tool to support agricultural planning at a high level, more efficient irrigation",,,0,2,,,,,,,,,,,0,1,1,1,2021-05-04,,,,,,,,,,,,,,,,CRS 2021 data,46701506560,0,1,0,0,1,1,.114792,230717744,0
