dataset,crsid,source_url,donorcode,donorname,oecd_website,agencycode,agencyname,agency_web,agency_projectspage,projecttitle,project_descrip,projectnumber,country_name,commitment_year,usd_commitment_defl_total,data_amount_unit,year,initialreport,recipientcode,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_irtc,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,grantequiv,usd_grantequiv,shortdescription,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,parentchannelcode,geography,ldcflag,ldcflagname,expectedstartdate,completiondate,longdescription,sdgfocus,keywords,gender,environment,dig,trade,rmnch,drr,nutrition,disability,ftc,pba,investmentproject,assocfinance,biodiversity,climatemitigation,climateadaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,capitalexpend,psiflag,psiaddtype,psiaddassess,psiadddevobj,id,crs_total,irrigation_title,irrigation_descr,irrigation_shortDes,irrigation_crs,irrig_tit_des,irrigation_keyword,irrigation_commitments,crs_irri_total,dup
CRS,2015990083,,566,Saudi Arabia,https://www.oecd-ilibrary.org/sites/b2156c99-en/index.html?itemId=/content/component/b2156c99-en,6,Saudi Development Fund,https://www.sfd.gov.sa/en,,Reh. and Extension  of Irrigation  land  in  Mina Area,Short: REH. AND EXTENSION  OF IRRIGATION  LAND  IN  MINA AREA Long: ,0385/10,Algeria,2015,0,"USD, constant 2021",2015,3,130,10002,North of Sahara,10018,LMICs,13,ODA Loans,1,10,421,C01,,,.88906997,,,1.007907,,,,,,,,,,,,,302,,,,,REH. AND EXTENSION  OF IRRIGATION  LAND  IN  MINA AREA,31140,Agricultural water resources,311,III.1.a. Agriculture,12002,Local Government,Government of Algeria,12000,,,,,,,,,,,,,,,,,,,,,,,,,2015-12-31,2,2,3000,,2009-09-15,2022-03-15,,,,,,,,,,CRS 2015 data,6387881472,1,0,1,1,1,1,,65467604,1
CRS,2016990068,,566,Saudi Arabia,https://www.oecd-ilibrary.org/sites/b2156c99-en/index.html?itemId=/content/component/b2156c99-en,6,Saudi Development Fund,https://www.sfd.gov.sa/en,,DEV.OF SOUROU VALLEY PROJECT.BURKINA FASO.,Short: DEV.OF SOUROU VALLEY PROJECT.BURKINA FASO. Long: ,0339/04,Burkina Faso,2016,0,"USD, constant 2021",2016,3,287,10003,South of Sahara,10016,LDCs,13,ODA Loans,1,10,421,C01,,,.047200002,,,.053862002,,,,,,,,,,,,,302,,,,,DEV.OF SOUROU VALLEY PROJECT.BURKINA FASO.,31140,Agricultural water resources,311,III.1.a. Agriculture,12002,Local Government,Government of Burkina Faso,12000,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-31,2,2,3000,,2001-06-30,2015-12-31,,,,,,,,,,CRS 2016 data,29398272000,0,0,0,1,0,1,,625761920,0
CRS,2020000319,,566,Saudi Arabia,https://www.oecd-ilibrary.org/sites/b2156c99-en/index.html?itemId=/content/component/b2156c99-en,6,Saudi Development Fund,https://www.sfd.gov.sa/en,,Construction of Small Dams for Agriculture and Livestock Breeding in Rural Areas,Short: CONSTRUCTION OF SMALL DAMS FOR AGRICULTURE AND LIVESTOCK BREEDING IN RURAL AREAS Long: Construction of Small Dams for Agriculture and Livestock Breeding in Rural Areas,0686/05,Chad,2017,0,"USD, constant 2021",2020,3,232,10003,South of Sahara,10016,LDCs,11,ODA Grants,1,10,110,C01,,.29840001,,,.31728801,,,,,,,,,,,,,,302,,.29840001,.29840001,.29840001,CONSTRUCTION OF SMALL DAMS FOR AGRICULTURE AND LIVESTOCK BREEDING IN RURAL AREAS,31140,Agricultural water resources,311,III.1.a. Agriculture,12001,Central Government,Chad Government,12000,,,,,,Construction of Small Dams for Agriculture and Livestock Breeding in Rural Areas,,,,,,,,,,,,,,,,,,,2017-07-03,2,2,01000,,2027-07-31,2047-01-31,,,,,,,,,,CRS 2020 data,13749249024,0,0,0,1,0,1,,106626504,0
CRS,2016990244,,566,Saudi Arabia,https://www.oecd-ilibrary.org/sites/b2156c99-en/index.html?itemId=/content/component/b2156c99-en,6,Saudi Development Fund,https://www.sfd.gov.sa/en,,Stations for irrigation and drainage pumps,Short: STATIONS FOR IRRIGATION AND DRAINAGE PUMPS Long: ,0578/15,Egypt,2016,0,"USD, constant 2021",2016,3,142,10002,North of Sahara,10018,LMICs,13,ODA Loans,1,10,421,C01,,.1185,,,.13522699,,,,,,,,,,,,,,302,,.1185,.035923999,.035923999,STATIONS FOR IRRIGATION AND DRAINAGE PUMPS,31140,Agricultural water resources,311,III.1.a. Agriculture,12002,Local Government,Government of Egypt,12000,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-31,2,2,2000,,2018-04-01,2032-10-01,,,,,,,,,,CRS 2016 data,108358107136,1,0,1,1,1,1,,2547335936,1
CRS,2016000153,,566,Saudi Arabia,https://www.oecd-ilibrary.org/sites/b2156c99-en/index.html?itemId=/content/component/b2156c99-en,6,Saudi Development Fund,https://www.sfd.gov.sa/en,,Establishing 13 Agricultural Communities within King Salman bin Abdulaziz's program to develop Sinai Peninsula,"Short: ESTABLISHING 13 AGRICULTURAL COMMUNITIES WITHIN KING SALMAN BIN ABDULAZIZ'S PROGRAM TO DEVELOP SINAI PENINSULA Long: The project consists of civil works that include all necessary concrete structures to execute well-drilling works, supply and install 150 kV generators, supply and install pumps with a production capacity of 30 cubic meters per hour, and install main and secondary irrigation networks in different diameters. The project includes consultancy services, technical studies, designs, preparation of tender documents, analysis of presentations, and supervising of the implementation.",1433,Egypt,2016,121114280,"USD, constant 2021",2016,1,142,10002,North of Sahara,10018,LMICs,13,ODA Loans,1,10,421,C01,106.13333,,,121.11428,,,,,,,,,,,,,,,302,106.13333,,,,ESTABLISHING 13 AGRICULTURAL COMMUNITIES WITHIN KING SALMAN BIN ABDULAZIZ'S PROGRAM TO DEVELOP SINAI PENINSULA,31120,Agricultural development,311,III.1.a. Agriculture,12001,Central Government,Egypt Government,12000,Africa (North of Sahara),,,,,"The project consists of civil works that include all necessary concrete structures to execute well-drilling works, supply and install 150 kV generators, supply and install pumps with a production capacity of 30 cubic meters per hour, and install main and secondary irrigation networks in different diameters. The project includes consultancy services, technical studies, designs, preparation of tender documents, analysis of presentations, and supervising of the implementation.",,,,,,,,,,,,,,,,,,,2016-04-08,5,12,2000,,2021-04-01,2035-10-01,,,,,,,,,,CRS 2016 data,108358107136,0,1,0,0,1,1,121.11428,2547335936,0
CRS,2016000156,,566,Saudi Arabia,https://www.oecd-ilibrary.org/sites/b2156c99-en/index.html?itemId=/content/component/b2156c99-en,6,Saudi Development Fund,https://www.sfd.gov.sa/en,,Constructing a Channel for Water Transfer within King Salman bin Abdulaziz's program to develop Sinai Peninsula,"Short: CONSTRUCTING A CHANNEL FOR WATER TRANSFER WITHIN KING SALMAN BIN ABDULAZIZ'S PROGRAM TO DEVELOP SINAI PENINSULA Long: The project consists of constructing the 'Saharat Al Mahsama' channel with a diameter of 3.20 meters, and the 'Al Ma'khad wa Masref' channel with a diameter of one km. Expanding 'Jabali Bank' to the 'Toson Bank' by establishing a water-pumping station with drainage of one million cubic meters per day. The project includes consultancy services, technical studies, designs, preparation of tender documents, analysis of presentations, and supervising of the implementation.",1435,Egypt,2016,52340852,"USD, constant 2021",2016,1,142,10002,North of Sahara,10018,LMICs,13,ODA Loans,1,10,421,C01,45.866669,,,52.340851,,,,,,,,,,,,,,,302,45.866669,,,,CONSTRUCTING A CHANNEL FOR WATER TRANSFER WITHIN KING SALMAN BIN ABDULAZIZ'S PROGRAM TO DEVELOP SINAI PENINSULA,31140,Agricultural water resources,311,III.1.a. Agriculture,12001,Central Government,Egypt Government,12000,Africa (North of Sahara),,,,,"The project consists of constructing the 'Saharat Al Mahsama' channel with a diameter of 3.20 meters, and the 'Al Ma'khad wa Masref' channel with a diameter of one km. Expanding 'Jabali Bank' to the 'Toson Bank' by establishing a water-pumping station with drainage of one million cubic meters per day. The project includes consultancy services, technical studies, designs, preparation of tender documents, analysis of presentations, and supervising of the implementation.",,,,,,,,,,,,,,,,,,,2016-04-08,5,12,2000,,2021-04-01,2035-10-01,,,,,,,,,,CRS 2016 data,108358107136,0,0,0,1,0,1,52.340851,2547335936,0
CRS,2016990025,,566,Saudi Arabia,https://www.oecd-ilibrary.org/sites/b2156c99-en/index.html?itemId=/content/component/b2156c99-en,6,Saudi Development Fund,https://www.sfd.gov.sa/en,,SOUTH GHORS IRRIGATION,Short: SOUTH GHORS IRRIGATION Long: ,0179/10,Jordan,2016,0,"USD, constant 2021",2016,3,549,10011,Middle East,10019,UMICs,13,ODA Loans,1,10,421,C01,,,.22533,,,.25713599,,,,,,,,,,,,,302,,,,,SOUTH GHORS IRRIGATION,31110,Agricultural policy and administrative management,311,III.1.a. Agriculture,12002,Local Government,Government of Jordan,12000,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-31,2,2,2000,,2000-06-30,2025-09-30,,,,,,,,,,CRS 2016 data,51934191616,1,0,1,0,1,1,,542799616,1
CRS,2021000429,,566,Saudi Arabia,https://www.oecd-ilibrary.org/sites/b2156c99-en/index.html?itemId=/content/component/b2156c99-en,6,Saudi Development Fund,https://www.sfd.gov.sa/en,,Development of Water and Sanitation Systems in Rural Areas,"Short: DEVELOPMENT OF WATER AND SANITATION SYSTEMS IN RURAL AREAS Long: Building and rehabilitating the currently used water supply networks, increasing its production capacity through drilling 50 wells for groundwater, building pumping stations, establishing several water reservoirs at 600 cubic meters and connecting them to a 840 km distribution network to homes, social facilities, and hospitals, in addition to establishing sanitation services. The project also include civil works that aim to rehabilitate and construct irrigation systems in rural areas, sanitation services, and acquiring the project land. Funding includes providing and importing equipment, operating appliances, and maintenance, consultancy services, which include technical support, project designing, supervising the implementation, and reviewing designs and tender documents.",0750/06,Kyrgyzstan,2019,0,"USD, constant 2021",2021,3,614,10009,South & Central Asia,10018,LMICs,13,ODA Loans,1,10,421,C01,,.208373,,,.208373,,,,,0,,,0,,,,,,302,,.208373,.109775,.109775,DEVELOPMENT OF WATER AND SANITATION SYSTEMS IN RURAL AREAS,14020,Water supply and sanitation - large systems,140,I.4. Water Supply & Sanitation,12001,Central Government,Kyrgyzstan Government,12000,,,,,,"Building and rehabilitating the currently used water supply networks, increasing its production capacity through drilling 50 wells for groundwater, building pumping stations, establishing several water reservoirs at 600 cubic meters and connecting them to a 840 km distribution network to homes, social facilities, and hospitals, in addition to establishing sanitation services. The project also include civil works that aim to rehabilitate and construct irrigation systems in rural areas, sanitation services, and acquiring the project land. Funding includes providing and importing equipment, operating appliances, and maintenance, consultancy services, which include technical support, project designing, supervising the implementation, and reviewing designs and tender documents.",,,,,,,,,,,,,,,,,,,2019-09-10,2,2,1000,,2024-11-25,2044-05-15,,,,,,,,,,CRS 2021 data,10210225152,0,1,0,0,1,1,,165506304,0
CRS,2019000382,,566,Saudi Arabia,https://www.oecd-ilibrary.org/sites/b2156c99-en/index.html?itemId=/content/component/b2156c99-en,6,Saudi Development Fund,https://www.sfd.gov.sa/en,,Development of Water and Sanitation Systems in Rural Areas,"Short: DEVELOPMENT OF WATER AND SANITATION SYSTEMS IN RURAL AREAS Long: Building and rehabilitating the currently used water supply networks, increasing its production capacity through drilling 50 wells for groundwater, building pumping stations, establishing several water reservoirs at 600 cubic meters and connecting them to a 840 km distribution network to homes, social facilities, and hospitals, in addition to establishing sanitation services. The project also include civil works that aim to rehabilitate and construct irrigation systems in rural areas, sanitation services, and acquiring the project land. Funding includes providing and importing equipment, operating appliances, and maintenance, consultancy services, which include technical support, project designing, supervising the implementation, and reviewing designs and tender documents.",5018,Kyrgyzstan,2019,32844536,"USD, constant 2021",2019,1,614,10009,South & Central Asia,10018,LMICs,13,ODA Loans,1,10,421,C01,30,,,32.844536,,,,,,,,,,,,,,,302,30,,,,DEVELOPMENT OF WATER AND SANITATION SYSTEMS IN RURAL AREAS,14020,Water supply and sanitation - large systems,140,I.4. Water Supply & Sanitation,12001,Central Government,Kyrgyzstan Government,12000,,,,,,"Building and rehabilitating the currently used water supply networks, increasing its production capacity through drilling 50 wells for groundwater, building pumping stations, establishing several water reservoirs at 600 cubic meters and connecting them to a 840 km distribution network to homes, social facilities, and hospitals, in addition to establishing sanitation services. The project also include civil works that aim to rehabilitate and construct irrigation systems in rural areas, sanitation services, and acquiring the project land. Funding includes providing and importing equipment, operating appliances, and maintenance, consultancy services, which include technical support, project designing, supervising the implementation, and reviewing designs and tender documents.",6.4000001,,,,,,,,,,,,,,,,,,2019-10-09,2,2,1000,,2024-11-15,2044-05-15,,,,,,,,,,CRS 2019 data,10210225152,0,1,0,0,1,1,32.844536,165506304,0
CRS,2017990193,,566,Saudi Arabia,https://www.oecd-ilibrary.org/sites/b2156c99-en/index.html?itemId=/content/component/b2156c99-en,6,Saudi Development Fund,https://www.sfd.gov.sa/en,,Taosa Dam,Short: TAOSA DAM Long: ,0520/17,Mali,2017,0,"USD, constant 2021",2017,3,255,10003,South of Sahara,10016,LDCs,13,ODA Loans,1,10,421,C01,,2.87938,,,3.225662,,,,,,,,,,,,,,302,,2.87938,1.309737,1.309737,TAOSA DAM,31140,Agricultural water resources,311,III.1.a. Agriculture,12002,Local Government,Government of Mali,12000,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-31,2,2,1000,,2015-10-15,2035-12-15,,,,,,,,,,CRS 2017 data,29285947392,0,0,0,1,0,1,,1362132096,0
