dataset,crsid,source_url,donorcode,donorname,oecd_website,agencycode,agencyname,agency_web,agency_projectspage,projecttitle,project_descrip,projectnumber,country_name,commitment_year,usd_commitment_defl_total,data_amount_unit,year,initialreport,recipientcode,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_irtc,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,grantequiv,usd_grantequiv,shortdescription,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,parentchannelcode,geography,ldcflag,ldcflagname,expectedstartdate,completiondate,longdescription,sdgfocus,keywords,gender,environment,dig,trade,rmnch,drr,nutrition,disability,ftc,pba,investmentproject,assocfinance,biodiversity,climatemitigation,climateadaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,capitalexpend,psiflag,psiaddtype,psiaddassess,psiadddevobj,id,crs_total,irrigation_title,irrigation_descr,irrigation_shortDes,irrigation_crs,irrig_tit_des,irrigation_keyword,irrigation_commitments,crs_irri_total,dup
CRS,20210000044,,1024,Asian Infrastructure Investment Bank,,1,Asian Infrastructure Investment Bank,https://www.aiib.org/en/index.html,https://www.aiib.org/en/projects/,Climate Adaptive Irrigation and Sustainable Agriculture for Resilience (CAISAR),Short: CLIMATE ADAPTIVE IRRIGATION AND SUSTAINABLE AGRICULTURE FOR RESILIENCE (CAISAR) Long: Climate Adaptive Irrigation and Sustainable Agriculture for Resilience (CAISAR),S000614,Cambodia,2021,4700000,"USD, constant 2021",2021,1,728,10008,Far East Asia,10016,LDCs,11,ODA Grants,4,10,110,C01,4.6999998,,,4.6999998,,,,,,,,,,,,,,,302,4.6999998,,,,CLIMATE ADAPTIVE IRRIGATION AND SUSTAINABLE AGRICULTURE FOR RESILIENCE (CAISAR),31140,Agricultural water resources,311,III.1.a. Agriculture,10000,Public Sector Institutions,Sovereign,10000,,,,,,Climate Adaptive Irrigation and Sustainable Agriculture for Resilience (CAISAR),,,,,,,,,,,,,,,,,,,2021-12-31,,,,,,,,,,,,,,,,CRS 2021 data,23280652288,1,1,1,1,1,1,4.6999998,1112822272,0
CRS,2019000046,,1024,Asian Infrastructure Investment Bank,,1,Asian Infrastructure Investment Bank,https://www.aiib.org/en/index.html,https://www.aiib.org/en/projects/,West Bengal Major Irrigation and Flood Management,Short: WEST BENGAL MAJOR IRRIGATION AND FLOOD MANAGEMENT Long: West Bengal Major Irrigation and Flood Management,000054,India,2019,158748576,"USD, constant 2021",2019,1,645,10009,South & Central Asia,10018,LMICs,14,Other Official Flows (non Export Credit),4,21,421,C01,145,,,158.74858,,,,,,,,,,,,,,,302,145,,,,WEST BENGAL MAJOR IRRIGATION AND FLOOD MANAGEMENT,31140,Agricultural water resources,311,III.1.a. Agriculture,10000,Public Sector Institutions,Sovereign,10000,,,,,,West Bengal Major Irrigation and Flood Management,6,,,,,,,,,,,,,,,,,,2019-12-31,,,,,,,,,,,,,,,,CRS 2019 data,257907179520,1,1,1,1,1,1,158.74858,8654613504,1
CRS,2019000021,,1024,Asian Infrastructure Investment Bank,,1,Asian Infrastructure Investment Bank,https://www.aiib.org/en/index.html,https://www.aiib.org/en/projects/,Strategic Irrigation Modernization and Urgent Rehabilitation Project,Short: STRATEGIC IRRIGATION MODERNIZATION AND URGENT REHABILITATION PROJECT Long: Strategic Irrigation Modernization and Urgent Rehabilitation Project,000060,Indonesia,2019,0,"USD, constant 2021",2019,3,738,10008,Far East Asia,10018,LMICs,14,Other Official Flows (non Export Credit),4,21,421,C01,,5.988873,,,6.556725,,,,,,,,,,,,,,302,,5.988873,,,STRATEGIC IRRIGATION MODERNIZATION AND URGENT REHABILITATION PROJECT,31140,Agricultural water resources,311,III.1.a. Agriculture,10000,Public Sector Institutions,Sovereign,10000,,,,,,Strategic Irrigation Modernization and Urgent Rehabilitation Project,,,,,,,,,,,,,,,,,,,2019-12-31,,,,,,,,,,,,,,,,CRS 2019 data,141077938176,1,1,1,1,1,1,,3339995136,1
