dataset,crsid,source_url,donorcode,donorname,oecd_website,agencycode,agencyname,agency_web,agency_projectspage,projecttitle,project_descrip,projectnumber,country_name,commitment_year,usd_commitment_defl_total,data_amount_unit,year,initialreport,recipientcode,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_irtc,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,grantequiv,usd_grantequiv,shortdescription,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,parentchannelcode,geography,ldcflag,ldcflagname,expectedstartdate,completiondate,longdescription,sdgfocus,keywords,gender,environment,dig,trade,rmnch,drr,nutrition,disability,ftc,pba,investmentproject,assocfinance,biodiversity,climatemitigation,climateadaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,capitalexpend,psiflag,psiaddtype,psiaddassess,psiadddevobj,id,crs_total,irrigation_title,irrigation_descr,irrigation_shortDes,irrigation_crs,irrig_tit_des,irrigation_keyword,irrigation_commitments,crs_irri_total,dup
CRS,2006861579,,742,Korea,https://www.oecd-ilibrary.org/sites/d919ff1a-en/index.html?itemId=/content/component/d919ff1a-en,4,Korea International Cooperation Agency,http://www.koica.go.kr/sites/koica_en/index.do,,,Short:  Long: ,2006070000417,Afghanistan,2006,14289,"USD, constant 2021",2006,1,625,10009,South & Central Asia,10016,LDCs,11,ODA Grants,1,10,110,,.01314,.01314,0,.014289,.014289,0,,,,,,,,,,,,,302,.01314,.01314,,,,31140,Agricultural water resources,311,III.1.a. Agriculture,90000,Other,Other,90000,,,,,,,,,0,0,,,,,,,1,,,,,,,,2006-12-31,,,,,,,,,,,,,,,,CRS 2006 data,101472763904,0,0,0,1,0,1,.014289,672270080,0
CRS,2008010122,,742,Korea,https://www.oecd-ilibrary.org/sites/d919ff1a-en/index.html?itemId=/content/component/d919ff1a-en,4,Korea International Cooperation Agency,http://www.koica.go.kr/sites/koica_en/index.do,,Feasibility Study and Detailed Design of Water Intake Structures and Irrigation in the Northern Rivers in Azerbaijan -1,Short: FEASIBILITY STUDY AND DETAILED DESIGN OF WATER INTAKE STRUCTURES AND IRRIGATION IN THE NORTHERN RIVERS IN AZERBAIJAN Long: To improve irrigation technology and water resources management by providing this feasibility study and detailed design and to contribute to socio-economic development of the area related to the Project by introducing an effective model of irrigation and water resources management through the Project implementation,2008050000001,Azerbaijan,,2047318,"USD, constant 2021",2008,1,611,10009,South & Central Asia,10019,UMICs,11,ODA Grants,1,10,110,,1.7,.68625498,,2.047318,.82646,,,,,,,,,,,,,,302,1.7,.68625498,,,FEASIBILITY STUDY AND DETAILED DESIGN OF WATER INTAKE STRUCTURES AND IRRIGATION IN THE NORTHERN RIVERS IN AZERBAIJAN,31140,Agricultural water resources,311,III.1.a. Agriculture,10000,Public Sector Institutions,KOICA,10000,,,,,,To improve irrigation technology and water resources management by providing this feasibility study and detailed design and to contribute to socio-economic development of the area related to the Project by introducing an effective model of irrigation and water resources management through the Project implementation,,,0,0,2,0,,,,,1,,,,0,0,,0,,,,,,,,,,,,,,,,,CRS 2008 data,17653317632,1,1,1,1,1,1,2.047318,299037568,1
CRS,2008010123,,742,Korea,https://www.oecd-ilibrary.org/sites/d919ff1a-en/index.html?itemId=/content/component/d919ff1a-en,4,Korea International Cooperation Agency,http://www.koica.go.kr/sites/koica_en/index.do,,Feasibility Study and Detailed Design of Water Intake Structures and Irrigation in the Northern Rivers in Azerbaijan -2,Short: FEASIBILITY STUDY AND DETAILED DESIGN OF WATER INTAKE STRUCTURES AND IRRIGATION IN THE NORTHERN RIVERS IN AZERBAIJAN Long: Feasibility Study and Detailed Design of Water Intake Structures and Irrigation in the Northern Rivers in Azerbaijan,2008050000002,Azerbaijan,,2047318,"USD, constant 2021",2008,1,611,10009,South & Central Asia,10019,UMICs,11,ODA Grants,1,10,110,,1.7,.68625498,,2.047318,.82646,,,,,,,,,,,,,,302,1.7,.68625498,,,FEASIBILITY STUDY AND DETAILED DESIGN OF WATER INTAKE STRUCTURES AND IRRIGATION IN THE NORTHERN RIVERS IN AZERBAIJAN,31140,Agricultural water resources,311,III.1.a. Agriculture,10000,Public Sector Institutions,KOICA,10000,,,,,,Feasibility Study and Detailed Design of Water Intake Structures and Irrigation in the Northern Rivers in Azerbaijan,,,0,0,2,0,,,,,1,,,,0,0,,0,,,,,,,,,,,,,,,,,CRS 2008 data,17653317632,1,1,1,1,1,1,2.047318,299037568,1
CRS,2018125517,,742,Korea,https://www.oecd-ilibrary.org/sites/d919ff1a-en/index.html?itemId=/content/component/d919ff1a-en,4,Korea International Cooperation Agency,http://www.koica.go.kr/sites/koica_en/index.do,,Integrated Rural Development for IDP Communities in Azerbaijan through Revitalization of Kahriz Water supply system,Short: INTEGRATED RURAL DEVELOPMENT FOR IDP COMMUNITIES IN AZERBAIJAN THROUGH REVITALIZATION OF KAHRIZ WATER SUPPLY SYSTEM Long: Development of National Master Plan for Kahriz Revitalization Kahriz Rehabilitation Capacity Building for Kahriz engineers and Kankans Increasing irrigation water supply to rural communities Pilot programming in supporting small business activities of IDPs Promotion and awareness raising on Kahriz concept,2016010120170,Azerbaijan,2018,4465516,"USD, constant 2021",2018,1,611,10009,South & Central Asia,10019,UMICs,11,ODA Grants,1,10,110,C01,4.5,1.8159111,0,4.4655161,1.801995,0,,,4.5,0,0,4.4655161,0,0,,,,,302,4.5,1.8159111,1.8159111,1.8159111,INTEGRATED RURAL DEVELOPMENT FOR IDP COMMUNITIES IN AZERBAIJAN THROUGH REVITALIZATION OF KAHRIZ WATER SUPPLY SYSTEM,31140,Agricultural water resources,311,III.1.a. Agriculture,47066,International Organisation for Migration,International Organisation for Migration,41000,SOUTH & CENTR. ASIA,,,2018-01-01,2022-12-30,Development of National Master Plan for Kahriz Revitalization Kahriz Rehabilitation Capacity Building for Kahriz engineers and Kankans Increasing irrigation water supply to rural communities Pilot programming in supporting small business activities of IDPs Promotion and awareness raising on Kahriz concept,,,0,2,0,0,0,0,,0,,,1,,0,0,0,0,2018-01-01,,,,,,,,,,,,,,,,CRS 2018 data,17653317632,0,1,0,1,1,1,4.4655161,299037568,1
CRS,2007017593,,742,Korea,https://www.oecd-ilibrary.org/sites/d919ff1a-en/index.html?itemId=/content/component/d919ff1a-en,4,Korea International Cooperation Agency,http://www.koica.go.kr/sites/koica_en/index.do,,Preparation of Master Plan for Water supply and Wastewater Management of the Detailed Planned Area of Chittagong  Bangladesh,Short: PREPARATION OF MASTER PLAN FOR WATER SUPPLY AND WASTEWATER MANAGEMENT OF THE DETAILED PLANNED AREA OF CHITTAGONG  BANGLADESH Long: To estblish long-term development of water resources plan for agricultural development,2007050000019,Bangladesh,,0,"USD, constant 2021",2008,3,666,10009,South & Central Asia,10016,LDCs,11,ODA Grants,1,10,110,,,.44984299,,,.54174799,,,,,,,,,,,,,,302,,.44984299,,,PREPARATION OF MASTER PLAN FOR WATER SUPPLY AND WASTEWATER MANAGEMENT OF THE DETAILED PLANNED AREA OF CHITTAGONG  BANGLADESH,31140,Agricultural water resources,311,III.1.a. Agriculture,10000,Public Sector Institutions,KOICA,10000,,,,,,To estblish long-term development of water resources plan for agricultural development,,,0,2,2,0,,,,,1,,,,0,0,,0,,,,,,,,,,,,,,,,,CRS 2008 data,118779535360,0,0,0,1,0,1,,973094272,0
CRS,2007016066,,742,Korea,https://www.oecd-ilibrary.org/sites/d919ff1a-en/index.html?itemId=/content/component/d919ff1a-en,4,Korea International Cooperation Agency,http://www.koica.go.kr/sites/koica_en/index.do,,Dispatch of Volunteers,Short: AGRICULTURAL WATER RESOURCES Long: Irrigation Deveopment and Education,2007110001191,Bangladesh,,30695,"USD, constant 2021",2007,8,666,10009,South & Central Asia,10016,LDCs,11,ODA Grants,1,10,110,,.029604999,.029604999,,.030695001,.030695001,,,,,,,,,,,,,,302,.029604999,.029604999,,,AGRICULTURAL WATER RESOURCES,31140,Agricultural water resources,311,III.1.a. Agriculture,10000,Public Sector Institutions,KOICA,10000,,,,2007-04-23,2009-04-22,Irrigation Deveopment and Education,,,0,0,0,,,,,,1,,,,0,0,,2,,,,,,,,,,,,,,,,,CRS 2007 data,118779535360,0,1,0,1,1,1,.030695001,973094272,0
CRS,2008011505,,742,Korea,https://www.oecd-ilibrary.org/sites/d919ff1a-en/index.html?itemId=/content/component/d919ff1a-en,4,Korea International Cooperation Agency,http://www.koica.go.kr/sites/koica_en/index.do,,Dispatch of Volunteers - Irrigation Deveopment and Education,Short: DISPATCH OF VOLUNTEERS - IRRIGATION DEVEOPMENT AND EDUCATION Long: ,2008110000696,Bangladesh,,30842,"USD, constant 2021",2008,8,666,10009,South & Central Asia,10016,LDCs,11,ODA Grants,1,10,110,,.02561,.02561,,.030842001,.030842001,,,,,,,,,,,,,,302,.02561,.02561,,,DISPATCH OF VOLUNTEERS - IRRIGATION DEVEOPMENT AND EDUCATION,31140,Agricultural water resources,311,III.1.a. Agriculture,10000,Public Sector Institutions,KOICA,10000,,,,2007-04-23,2009-04-22,,,,0,0,0,0,,,,,1,,,,0,0,,0,,,,,,,,,,,,,,,,,CRS 2008 data,118779535360,1,0,1,1,1,1,.030842001,973094272,0
CRS,2009008787,,742,Korea,https://www.oecd-ilibrary.org/sites/d919ff1a-en/index.html?itemId=/content/component/d919ff1a-en,4,Korea International Cooperation Agency,http://www.koica.go.kr/sites/koica_en/index.do,,Solar powered irrigation pump and solar home system,"Short: SOLAR POWERED IRRIGATION PUMP AND SOLAR HOME SYSTEM Long: 20 solar powered irrigation pump and 2,000 solar home system",2009010001419,Bangladesh,,3334702,"USD, constant 2021",2009,1,666,10009,South & Central Asia,10016,LDCs,11,ODA Grants,1,10,110,,2.5,0,0,3.334702,0,0,,,0,0,2.5,0,0,3.334702,,,,,302,2.5,0,,,SOLAR POWERED IRRIGATION PUMP AND SOLAR HOME SYSTEM,23230,Solar energy for centralised grids,232,"II.3.b. Energy generation, renewable sources",10000,Public Sector Institutions,KOICA,10000,,,,2009-01-01,2011-12-31,"20 solar powered irrigation pump and 2,000 solar home system",,,1,1,0,0,,,,,1,,,,1,2,,0,,,,,,,,,,,,,,,,,CRS 2009 data,118779535360,1,1,1,0,1,1,3.334702,973094272,1
CRS,2012016816,,742,Korea,https://www.oecd-ilibrary.org/sites/d919ff1a-en/index.html?itemId=/content/component/d919ff1a-en,4,Korea International Cooperation Agency,http://www.koica.go.kr/sites/koica_en/index.do,,Project for Irrigation of Pampas de Padilla - Chuquisaca,Short: PROJECT FOR IRRIGATION OF PAMPAS DE PADILLA - CHUQUISACA Long: Project for Irrigation of Pampas de Padilla - Chuquisaca,2012010063143,Bolivia,2012,12427781,"USD, constant 2021",2012,1,428,10006,South America,10018,LMICs,11,ODA Grants,1,10,110,C01,9,.46689901,0,10.070911,.52245498,0,,,9,0,0,10.070911,0,0,,,,,302,9,.46689901,,,PROJECT FOR IRRIGATION OF PAMPAS DE PADILLA - CHUQUISACA,31140,Agricultural water resources,311,III.1.a. Agriculture,11000,Donor Government,KOICA,11000,SOUTH AMERICA,,,2011-01-01,2015-12-31,Project for Irrigation of Pampas de Padilla - Chuquisaca,,,1,2,0,0,,,,,,,1,,0,0,2,0,2012-12-31,,,,,,,,,,,,,,,,CRS 2012 data,21974071296,1,1,1,1,1,1,10.070911,655347456,1
CRS,2013016836,,742,Korea,https://www.oecd-ilibrary.org/sites/d919ff1a-en/index.html?itemId=/content/component/d919ff1a-en,4,Korea International Cooperation Agency,http://www.koica.go.kr/sites/koica_en/index.do,,Project for Exploitation of Ground Water for Irrigation in Monte Verde,Short: PROJECT FOR EXPLOITATION OF GROUND WATER FOR IRRIGATION IN MONTE VERDE Long: Ground water development and supply system,2013010081013,Bolivia,2013,2692305,"USD, constant 2021",2013,1,428,10006,South America,10018,LMICs,11,ODA Grants,1,10,110,C01,2.5,.53157699,0,2.6923051,.57246703,0,,,2.5,0,0,2.6923051,0,0,,,,,302,2.5,.53157699,,,PROJECT FOR EXPLOITATION OF GROUND WATER FOR IRRIGATION IN MONTE VERDE,31140,Agricultural water resources,311,III.1.a. Agriculture,11000,Donor Government,KOICA,11000,SOUTH AMERICA,,,2013-01-01,2013-12-31,Ground water development and supply system,,,0,1,0,0,0,,,,,,1,,0,0,1,1,2013-12-31,,,,,,,,,,,,,,,,CRS 2013 data,21974071296,1,0,1,1,1,1,2.6923051,655347456,1
