dataset,crsid,source_url,donorcode,donorname,oecd_website,agencycode,agencyname,agency_web,agency_projectspage,projecttitle,project_descrip,projectnumber,country_name,commitment_year,usd_commitment_defl_total,data_amount_unit,year,initialreport,recipientcode,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_irtc,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,grantequiv,usd_grantequiv,shortdescription,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,parentchannelcode,geography,ldcflag,ldcflagname,expectedstartdate,completiondate,longdescription,sdgfocus,keywords,gender,environment,dig,trade,rmnch,drr,nutrition,disability,ftc,pba,investmentproject,assocfinance,biodiversity,climatemitigation,climateadaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,capitalexpend,psiflag,psiaddtype,psiaddassess,psiadddevobj,id,crs_total,irrigation_title,irrigation_descr,irrigation_shortDes,irrigation_crs,irrig_tit_des,irrigation_keyword,irrigation_commitments,crs_irri_total,dup
CRS,2017900010,,811,Global Environment Facility,,1,GEF (general),https://www.thegef.org/,https://www.thegef.org/projects-operations/database,Jiangsu Yancheng Wetlands Protection Project,"Short: JIANGSU YANCHENG WETLANDS PROTECTION PROJECT Long: The expected impact of the project will be improved ecosystem health and services in the coastal wetlands in Yancheng. The expected outcome will be increased capacity to manage and protect the wetland ecosystems in Yancheng. The project will adopt an integrated approach to address the degradation of the wetland ecosystems in Yancheng through habitats rehabilitation, invasive species control, sustainable forest management, waste management, and ecological services payments. The initial results and lessons learned from these efforts to rehabilitate wetland habitats will be replicated to other areas of the nature reserves and can be a good model for restoration of other wetlands in the PRC. The impact and outcome will be achieved through the following five project outputs: (i) wetland protection at the YRBNNR, (ii) wetland protection at the DMNNR, (iii) coastal forest improvement at the Sheyang forest farm, (iv) coastal forest improvement at the Dafeng forest farm, and (v) project management and capacity development.The project activities will include (i) wetland habitat rehabilitation and restoration, including rehydration of dehydrated critical habitats for water birds, conversion of fish ponds into wildlife habitats, and improvement of the milu drinking water and food supplies, (ii) control of the Spartina alterniflora as an invasive species along the Jiangsu coast by the use of freshwater flooding, (iii) improvement and protection of coastal forests, including improvement of the irrigation and drainage systems, fire prevention, pest early warning system and integrated pest management, and reforestation, (iv) waste management, including collection and safe disposal of solid wastes in the nature reserves, (v) pilot and demonstration of ecological compensation and sustainable use of ecological services, including the promotion of sustainable financing mechanism through provincial and municipal program, and market-based instruments, the implementation of ecological compensation program in a pilot community, agroforestry, such as forest-crop intercropping, and eco-tourism, and (vi) capacity development for wetland ecosystem protection, including research, ecological monitoring, meteorological and hydrological observation, animal rescue, technical assistance on nature reserve management planning, and training on procurement and contract management, project management, and financial management. The proposed activities will have the benefit of mitigating climate change through carbon sequestration, and the project preparatory technical assistance (PPTA) will quantify this benefit.",GN0311-PRC,China (People's Republic of),2013,0,"USD, constant 2021",2017,3,730,10008,Far East Asia,10019,UMICs,11,ODA Grants,4,10,110,C01,,.65762198,,,.736709,,,,,,,,,,,,,,302,,.65762198,,,JIANGSU YANCHENG WETLANDS PROTECTION PROJECT,14015,Water resources conservation (including data collection),140,I.4. Water Supply & Sanitation,46004,Asian Development Bank,,46000,"Dafeng Shi, Sheyang Xian, Yancheng Shi",,,2013-12-18,2019-01-31,"The expected impact of the project will be improved ecosystem health and services in the coastal wetlands in Yancheng. The expected outcome will be increased capacity to manage and protect the wetland ecosystems in Yancheng. The project will adopt an integrated approach to address the degradation of the wetland ecosystems in Yancheng through habitats rehabilitation, invasive species control, sustainable forest management, waste management, and ecological services payments. The initial results and lessons learned from these efforts to rehabilitate wetland habitats will be replicated to other areas of the nature reserves and can be a good model for restoration of other wetlands in the PRC. The impact and outcome will be achieved through the following five project outputs: (i) wetland protection at the YRBNNR, (ii) wetland protection at the DMNNR, (iii) coastal forest improvement at the Sheyang forest farm, (iv) coastal forest improvement at the Dafeng forest farm, and (v) project management and capacity development.The project activities will include (i) wetland habitat rehabilitation and restoration, including rehydration of dehydrated critical habitats for water birds, conversion of fish ponds into wildlife habitats, and improvement of the milu drinking water and food supplies, (ii) control of the Spartina alterniflora as an invasive species along the Jiangsu coast by the use of freshwater flooding, (iii) improvement and protection of coastal forests, including improvement of the irrigation and drainage systems, fire prevention, pest early warning system and integrated pest management, and reforestation, (iv) waste management, including collection and safe disposal of solid wastes in the nature reserves, (v) pilot and demonstration of ecological compensation and sustainable use of ecological services, including the promotion of sustainable financing mechanism through provincial and municipal program, and market-based instruments, the implementation of ecological compensation program in a pilot community, agroforestry, such as forest-crop intercropping, and eco-tourism, and (vi) capacity development for wetland ecosystem protection, including research, ecological monitoring, meteorological and hydrological observation, animal rescue, technical assistance on nature reserve management planning, and training on procurement and contract management, project management, and financial management. The proposed activities will have the benefit of mitigating climate change through carbon sequestration, and the project preparatory technical assistance (PPTA) will quantify this benefit.",,,1,1,,,,,,,,,,,,0,0,,2013-10-31,,,,,,,,,,,,,,,,CRS 2017 data,136169218048,0,1,0,0,1,1,,3116165376,1
CRS,2009100554,,811,Global Environment Facility,,11,GEF Trust Fund,,,SIP: Lower Usuthu Smallholder Irrigation Project (LUSIP),Short: SIP: LOWER USUTHU SMALLHOLDER IRRIGATION PROJECT (LUSIP) Long: ,3390,Eswatini,2008,0,"USD, constant 2021",2009,3,280,10003,South of Sahara,10018,LMICs,11,ODA Grants,4,10,110,C01,,.49447301,,,.53367501,,,,,,,,,,,,,,302,,.49447301,,,SIP: LOWER USUTHU SMALLHOLDER IRRIGATION PROJECT (LUSIP),41010,Environmental policy and administrative management,410,IV.1. General Environment Protection,41108,International Fund for Agricultural Development,,41000,,,,2010-07-30,2015-03-31,,,,,2,,,,,,,,,,,,,,,2008-09-23,,,,,,,,,,,,,,,,CRS 2009 data,2728724736,1,0,1,0,1,1,,191702720,1
CRS,2010100657,,811,Global Environment Facility,,13,Special Climate Change Trust Fund (SCCF),,,TT-Pilot (GEF-4) DHRS: Irrigation Technology Pilot Project to face Climate Change Impact,Short: TT-PILOT (GEF-4) DHRS: IRRIGATION TECHNOLOGY PILOT PROJECT TO FACE CLIMATE CHANGE IMPACT Long: ,4036,Jordan,2009,0,"USD, constant 2021",2010,3,549,10011,Middle East,10019,UMICs,11,ODA Grants,4,10,110,C01,,.55000001,,,.58838499,,,,,,,,,,,,,,302,,.55000001,,,TT-PILOT (GEF-4) DHRS: IRRIGATION TECHNOLOGY PILOT PROJECT TO FACE CLIMATE CHANGE IMPACT,41020,Biosphere protection,410,IV.1. General Environment Protection,41108,International Fund for Agricultural Development,,41000,,,,2012-10-31,2016-10-31,,,,,2,,,,,,,,,,,,,,,2009-12-11,,,,,,,,,,,,,,,,CRS 2010 data,51934191616,1,0,1,0,1,1,,542799616,1
CRS,2021932324,,811,Global Environment Facility,,1,GEF (general),https://www.thegef.org/,https://www.thegef.org/projects-operations/database,Building climate resilient livelihoods and food systems (PPG),Short: BUILDING CLIMATE RESILIENT LIVELIHOODS AND FOOD SYSTEMS (PPG) Long: Building climate resilient livelihoods and food systems (PPG),PRJ_701442,Lesotho,2021,0,"USD, constant 2021",2021,3,249,10003,South of Sahara,10016,LDCs,11,ODA Grants,4,10,110,D02,,.0032800001,,,.0032800001,,,,,,,,,,,,,,302,,.0032800001,,,BUILDING CLIMATE RESILIENT LIVELIHOODS AND FOOD SYSTEMS (PPG),31140,Agricultural water resources,311,III.1.a. Agriculture,41301,Food and Agricultural Organisation,Food and Agricultural Organisation,41300,,,,,,Building climate resilient livelihoods and food systems (PPG),,,1,,,,,,,,,,,,1,2,2,1,2021-12-31,,,,,,,,,,,,,,,,CRS 2021 data,4275171840,0,0,0,1,0,1,,17606558,0
CRS,2020991099,,811,Global Environment Facility,,1,GEF (general),https://www.thegef.org/,https://www.thegef.org/projects-operations/database,Installation of Multi-Purpose Mini-Hydro Infrastructure (for Energy and Irrigation),Short: INSTALLATION OF MULTI-PURPOSE MINI-HYDRO INFRASTRUCTURE (FOR ENERGY AND IRRIGATION) Long: Installation of Multi-Purpose Mini-Hydro Infrastructure (for Energy and Irrigation),100330,Liberia,2020,0,"USD, constant 2021",2020,3,251,10003,South of Sahara,10016,LDCs,11,ODA Grants,4,10,110,C01,,1.100933,,,1.170619,,,,,,,,,,,,,,302,,1.100933,,,INSTALLATION OF MULTI-PURPOSE MINI-HYDRO INFRASTRUCTURE (FOR ENERGY AND IRRIGATION),23110,Energy policy and administrative management,231,II.3.a. Energy Policy,41123,United Nations Industrial Development Organisation,UNIDO,41100,,,,,,Installation of Multi-Purpose Mini-Hydro Infrastructure (for Energy and Irrigation),,,,,,,,,,,,,,,,,,,2020-12-31,,,,,,,,,,,,,,,,CRS 2020 data,14359827456,1,1,1,0,1,1,,4962525,0
CRS,2010100714,,811,Global Environment Facility,,11,GEF Trust Fund,,,SPWA-CC: Installation of multi purpose mini-hydro infrastructure (for energy & irrigation ),Short: SPWA-CC: INSTALLATION OF MULTI PURPOSE MINI-HYDRO INFRASTRUCTURE (FOR ENERGY & IRRIGATION ) Long: ,3944,Liberia,2009,0,"USD, constant 2021",2010,3,251,10003,South of Sahara,10016,LDCs,11,ODA Grants,4,10,110,C01,,.41163599,,,.44036499,,,,,,,,,,,,,,302,,.41163599,,,SPWA-CC: INSTALLATION OF MULTI PURPOSE MINI-HYDRO INFRASTRUCTURE (FOR ENERGY & IRRIGATION ),41020,Biosphere protection,410,IV.1. General Environment Protection,41123,United Nations Industrial Development Organisation,,41000,,,,2012-12-31,2015-05-31,,,,,2,,,,,,,,,,,,,,,2009-06-24,,,,,,,,,,,,,,,,CRS 2010 data,14359827456,1,0,1,0,1,1,,4962525,1
CRS,2017000505,,811,Global Environment Facility,,1,GEF (general),https://www.thegef.org/,https://www.thegef.org/projects-operations/database,Shire Valley Transformation Program - I,Short: SHIRE VALLEY TRANSFORMATION PROGRAM - I Long: ,9842,Malawi,2017,1680394,"USD, constant 2021",2017,1,253,10003,South of Sahara,10016,LDCs,11,ODA Grants,4,10,110,C01,1.5,,,1.6803941,,,,,,,,,,,,,,,302,1.5,,,,SHIRE VALLEY TRANSFORMATION PROGRAM - I,31140,Agricultural water resources,311,III.1.a. Agriculture,44001,International Bank for Reconstruction and Development,World Bank,44000,Climate Change,,,,,,,,,,,,,,,,,,,,2,2,0,1,2017-08-09,,,,,,,,,,,,,,,,CRS 2017 data,23458158592,0,0,0,1,0,1,1.6803941,606376768,0
CRS,2021932072,,811,Global Environment Facility,,1,GEF (general),https://www.thegef.org/,https://www.thegef.org/projects-operations/database,Sustainable Land Management Promotion in Mexico (MSP),Short: SUSTAINABLE LAND MANAGEMENT PROMOTION IN MEXICO (MSP) Long: Sustainable Land Management Promotion in Mexico (MSP),PRJ_629019,Mexico,2021,0,"USD, constant 2021",2021,3,358,10005,Caribbean & Central America,10019,UMICs,11,ODA Grants,4,10,110,D02,,.02125,,,.02125,,,,,,,,,,,,,,302,,.02125,,,SUSTAINABLE LAND MANAGEMENT PROMOTION IN MEXICO (MSP),31140,Agricultural water resources,311,III.1.a. Agriculture,41301,Food and Agricultural Organisation,Food and Agricultural Organisation,41300,,,,,,Sustainable Land Management Promotion in Mexico (MSP),,,1,,,,,,,,,,,,1,0,0,0,2021-12-31,,,,,,,,,,,,,,,,CRS 2021 data,89057738752,0,0,0,1,0,1,,411283040,0
CRS,2020990570,,811,Global Environment Facility,,1,GEF (general),https://www.thegef.org/,https://www.thegef.org/projects-operations/database,Developpement Pompage Solaire,Short: DEVELOPPEMENT POMPAGE SOLAIRE Long: Promotion du developpement des systemes de pompage photovoltaiques pour lirrigation,00096531,Morocco,2020,0,"USD, constant 2021",2020,3,136,10002,North of Sahara,10018,LMICs,11,ODA Grants,4,10,110,C01,,.022082999,,,.023481,,,,,,,,,,,,,,302,,.022082999,,,DEVELOPPEMENT POMPAGE SOLAIRE,23210,"Energy generation, renewable sources - multiple technologies",232,"II.3.b. Energy generation, renewable sources",41114,United Nations Development Programme,UNDP,41100,,,,,,Promotion du developpement des systemes de pompage photovoltaiques pour lirrigation,7.0999999,,,,,,,,,,,,,,,,,,2020-12-31,,,,,,,,,,,,,,,,CRS 2020 data,70423429120,0,1,0,0,1,1,,1672140928,1
CRS,2014000202,,811,Global Environment Facility,,1,GEF (general),https://www.thegef.org/,https://www.thegef.org/projects-operations/database,Promoting the Development of Photovoltaic Pumping Systems for Irrigation,Short: PROMOTING THE DEVELOPMENT OF PHOTOVOLTAIC PUMPING SYSTEMS FOR IRRIGATION Long: ,5539,Morocco,2014,0,"USD, constant 2021",2016,3,136,10002,North of Sahara,10018,LMICs,11,ODA Grants,4,10,110,C01,,.52794498,,,.60246599,,,,,,,,,,,,,,302,,.52794498,,,PROMOTING THE DEVELOPMENT OF PHOTOVOLTAIC PUMPING SYSTEMS FOR IRRIGATION,41010,Environmental policy and administrative management,410,IV.1. General Environment Protection,41114,United Nations Development Programme,UNDP,41000,Climate Change,,,,,,,,,2,,,,,,,,,,,,2,0,,2014-03-21,,,,,,,,,,,,,,,,CRS 2016 data,70423429120,1,0,1,0,1,1,,1672140928,0
