dataset,crsid,source_url,donorcode,donorname,oecd_website,agencycode,agencyname,agency_web,agency_projectspage,projecttitle,project_descrip,projectnumber,country_name,commitment_year,usd_commitment_defl_total,data_amount_unit,year,initialreport,recipientcode,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_irtc,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,grantequiv,usd_grantequiv,shortdescription,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,parentchannelcode,geography,ldcflag,ldcflagname,expectedstartdate,completiondate,longdescription,sdgfocus,keywords,gender,environment,dig,trade,rmnch,drr,nutrition,disability,ftc,pba,investmentproject,assocfinance,biodiversity,climatemitigation,climateadaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,capitalexpend,psiflag,psiaddtype,psiaddassess,psiadddevobj,id,crs_total,irrigation_title,irrigation_descr,irrigation_shortDes,irrigation_crs,irrig_tit_des,irrigation_keyword,irrigation_commitments,crs_irri_total,dup
CRS,2011000110,,820,New Zealand,https://www.oecd-ilibrary.org/sites/138471d6-en/index.html?itemId=/content/component/138471d6-en,1,Ministry of Foreign Affairs and Trade,,,Reservoir Construction,"Short: RESERVOIR CONSTRUCTION Long: Reservoir Construction at Xuedong Village, Xuedong Township, Sanhui Country",A10739-A01,China (People's Republic of),,94837,"USD, constant 2021",2011,1,730,10008,Far East Asia,10019,UMICs,11,ODA Grants,1,10,110,C01,.087350003,.087203003,,.094837002,.094678,,,,.087350003,,,.094837002,,,,,,,820,.11062,.110435,,,RESERVOIR CONSTRUCTION,31140,Agricultural water resources,311,III.1.a. Agriculture,10000,Public Sector Institutions,Public Sector Institutions,10000,,,,2011-07-01,,"Reservoir Construction at Xuedong Village, Xuedong Township, Sanhui Country",,,0,0,0,1,,,,,,,1,,0,0,0,0,,,,,,,,,,,,,,,,,CRS 2011 data,136169218048,0,0,0,1,0,1,.094837002,3116165376,0
CRS,2004000116z,,820,New Zealand,https://www.oecd-ilibrary.org/sites/138471d6-en/index.html?itemId=/content/component/138471d6-en,2,New Zealand International Aid and Development Agency,,,ADAF : INDIA / AGRICULTURE / RD 26 NOSD/CFCE,Short: ASIA DEVELOPMENT ASSISTANCE FACILITY (ADAF) Long: ,3611-01,India,2004,520832,"USD, constant 2021",2004,1,645,10009,South & Central Asia,10018,LMICs,11,ODA Grants,1,10,110,,.33133399,.18007299,,.520832,.283061,,,,,,.33133399,,,.520832,,,,,820,.49998301,.27173001,,,ASIA DEVELOPMENT ASSISTANCE FACILITY (ADAF),31140,Agricultural water resources,311,III.1.a. Agriculture,,,,,,,,,,,,,1,1,0,,,,,,1,,,,,,,,2004-09-29,,,,,,,,,,,,,,,,CRS 2004-05 data,257907179520,0,0,0,1,0,1,.520832,8654613504,1
CRS,2010000139,,820,New Zealand,https://www.oecd-ilibrary.org/sites/138471d6-en/index.html?itemId=/content/component/138471d6-en,1,Ministry of Foreign Affairs and Trade,,,World Vision Ratlam Watershed Project India,Short: WORLD VISION RATLAM WATERSHED PROJECT INDIA Long: World Vision Ratlam Watershed Management Project India,A10471-A01,India,,67563,"USD, constant 2021",2010,1,645,10009,South & Central Asia,10018,LMICs,11,ODA Grants,1,10,110,C01,.055209,.055209,,.067562997,.067562997,,,,.055209,,,.067562997,,,,,,,820,.076608002,.076608002,,,WORLD VISION RATLAM WATERSHED PROJECT INDIA,31140,Agricultural water resources,311,III.1.a. Agriculture,22000,Donor country-based NGO,Donor country-based NGO,22000,,,,,,World Vision Ratlam Watershed Management Project India,,,0,1,0,1,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,CRS 2010 data,257907179520,0,0,0,1,0,1,.067562997,8654613504,0
CRS,2013000076,,820,New Zealand,https://www.oecd-ilibrary.org/sites/138471d6-en/index.html?itemId=/content/component/138471d6-en,1,Ministry of Foreign Affairs and Trade,,,Building Resilience for Two Drought Affected communnities,"Short: BUILDING RESILIENCE FOR TWO DROUGHT AFFECTED COMMUNNITIES Long: This activity aims to improve drought resiliency amongst 1,500 families in two communities in Emali, Kenya, over a three year period. 4,800 people and 7,000 livestock will have improved access to water through the provision of boreholes, water pans and drip irrigation systems",A11584-A01,Kenya,2013,545409,"USD, constant 2021",2013,1,248,10003,South of Sahara,10018,LMICs,11,ODA Grants,1,10,110,C01,.53706199,.35367101,,.54540902,.35916799,,,,.53706199,,,.54540902,,,,,,,820,.65537697,.43158501,,,BUILDING RESILIENCE FOR TWO DROUGHT AFFECTED COMMUNNITIES,14031,Basic drinking water supply,140,I.4. Water Supply & Sanitation,22000,Donor country-based NGO,Donor country-based NGO,22000,,,,2013-06-05,,"This activity aims to improve drought resiliency amongst 1,500 families in two communities in Emali, Kenya, over a three year period. 4,800 people and 7,000 livestock will have improved access to water through the provision of boreholes, water pans and drip irrigation systems",,,1,0,0,0,,,,,,,1,,0,1,1,1,2013-06-05,,,,,,,,,,,,,,,,CRS 2013 data,66622406656,0,1,0,0,1,1,.54540902,716938624,1
CRS,2005000241z,,820,New Zealand,https://www.oecd-ilibrary.org/sites/138471d6-en/index.html?itemId=/content/component/138471d6-en,2,New Zealand International Aid and Development Agency,,,ADAF : MYANMAR,Short: ADAF : MYANMAR Long: SMALLHOLDER IRRIGATION,4650-01,Myanmar,2005,504687,"USD, constant 2021",2005,1,635,10009,South & Central Asia,10016,LDCs,11,ODA Grants,1,10,110,,.349718,,,.50468701,,,,,0,0,.34971601,0,0,.50468397,,,,,820,.49687999,,,,ADAF : MYANMAR,31140,Agricultural water resources,311,III.1.a. Agriculture,10000,Public Sector Institutions,10000,10000,,,,,,SMALLHOLDER IRRIGATION,,,1,1,0,,,,,,1,,,,0,0,,0,2005-05-09,,,,,,,,,,,,,,,,CRS 2004-05 data,33947832320,0,1,0,1,1,1,.50468701,735915648,1
CRS,2004000252z,,820,New Zealand,https://www.oecd-ilibrary.org/sites/138471d6-en/index.html?itemId=/content/component/138471d6-en,2,New Zealand International Aid and Development Agency,,,TEAR FUND : ROUND 34 / AGRICULTURE / RD 33: JVOFI: PHILIPPINES,Short: TEAR FUND : ROUND 34 Long: ,3638-01,Philippines,2004,422612,"USD, constant 2021",2004,1,755,10008,Far East Asia,10018,LMICs,11,ODA Grants,1,10,110,,.13783801,,,.216671,,,,,,,.13783801,,,.216671,,,,,820,.20799799,,,,TEAR FUND : ROUND 34,31140,Agricultural water resources,311,III.1.a. Agriculture,,,,,,,,,,,,,1,2,0,,,,,,1,,,,,,,,2004-11-23,,,,,,,,,,,,,,,,CRS 2004-05 data,74345783296,0,0,0,1,0,1,.216671,629637824,1
CRS,2006000406z,,820,New Zealand,https://www.oecd-ilibrary.org/sites/138471d6-en/index.html?itemId=/content/component/138471d6-en,2,New Zealand International Aid and Development Agency,,,Hydro-Electric and Irrigation Scheme,Short: HYDRO-ELECTRIC AND IRRIGATION SCHEME Long: Hydro-Electric and Irrigation Scheme,4829-01,Philippines,2006,178285,"USD, constant 2021",2006,1,755,10008,Far East Asia,10018,LMICs,11,ODA Grants,1,10,110,C01,.100983,.070035003,,.154511,.10716,,,,.100983,0,0,.154511,0,0,,,,,820,.15567499,.107967,,,HYDRO-ELECTRIC AND IRRIGATION SCHEME,23220,Hydro-electric power plants,232,"II.3.b. Energy generation, renewable sources",10000,Public Sector Institutions,NULL,10000,,,,2006-01-11,2006-12-31,Hydro-Electric and Irrigation Scheme,,,0,1,0,,,,,,,,1,,0,0,,0,2006-01-11,,,,,,,,,,,,,,,,CRS 2006 data,74345783296,1,1,1,0,1,1,.154511,629637824,1
CRS,2013000066,,820,New Zealand,https://www.oecd-ilibrary.org/sites/138471d6-en/index.html?itemId=/content/component/138471d6-en,1,Ministry of Foreign Affairs and Trade,,,Water and Sustainable Agriculture,Short: WATER AND SUSTAINABLE AGRICULTURE Long: Water and Sustainable Agriculture - Hope International Charitable Trust,A11559-A01,Philippines,,0,"USD, constant 2021",2014,3,755,10008,Far East Asia,10018,LMICs,11,ODA Grants,1,10,110,C01,0,.117052,,0,.114787,,,,0,,,0,,,,,,,820,0,.141141,,,WATER AND SUSTAINABLE AGRICULTURE,31140,Agricultural water resources,311,III.1.a. Agriculture,22000,Donor country-based NGO,Donor country-based NGO,22000,,,,,,Water and Sustainable Agriculture - Hope International Charitable Trust,,,1,0,0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,CRS 2014 data,74345783296,0,0,0,1,0,1,0,629637824,0
CRS,2014000190,,820,New Zealand,https://www.oecd-ilibrary.org/sites/138471d6-en/index.html?itemId=/content/component/138471d6-en,1,Ministry of Foreign Affairs and Trade,,,Baucau integrated water supply and sanitation,"Short: BAUCAU INTEGRATED WATER SUPPLY AND SANITATION Long: This Activity will improve the health of 5,001 people (1,001 households) over a four year period by increasing access to safe drinking water, improving hygiene and sanitation behaviour, and establishing irrigation for food production in 12 communities (aldeias) in Baucau province, Timor-Leste.",A11814-A01,Timor-Leste,2014,991102.06,"USD, constant 2021",2014,1,765,10008,Far East Asia,10016,LDCs,11,ODA Grants,1,10,110,C01,.93345499,.34940699,,.91539103,.34264499,,,,.93345499,,,.91539103,,,,,,,820,1.12556,.42131501,,,BAUCAU INTEGRATED WATER SUPPLY AND SANITATION,14030,Basic drinking water supply and basic sanitation,140,I.4. Water Supply & Sanitation,22000,Donor country-based NGO,Donor country-based NGO,22000,,,,2014-09-01,,"This Activity will improve the health of 5,001 people (1,001 households) over a four year period by increasing access to safe drinking water, improving hygiene and sanitation behaviour, and establishing irrigation for food production in 12 communities (aldeias) in Baucau province, Timor-Leste.",,,1,0,0,0,0,,,,,,1,,0,0,0,0,2014-09-01,,,,,,,,,,,,,,,,CRS 2014 data,6798221312,0,1,0,0,1,1,.91539103,23953604,1
CRS,2014000136,,820,New Zealand,https://www.oecd-ilibrary.org/sites/138471d6-en/index.html?itemId=/content/component/138471d6-en,1,Ministry of Foreign Affairs and Trade,,,Building strong and resilient communities,"Short: BUILDING STRONG AND RESILIENT COMMUNITIES Long: This activity aims to ensure that 1700 families in Cao Bang Province, Vietnam have sustainable livelihoods and increased food security over a 5 year period. Irrigation canal systems will be established and water user organisations set up to over-see their ongoing sustainability.",A11801-A01,Viet Nam,2014,1391404,"USD, constant 2021",2014,1,769,10008,Far East Asia,10018,LMICs,11,ODA Grants,1,10,110,C01,1.418861,.41505501,,1.391404,.40702301,,,,1.418861,,,1.391404,,,,,,,820,1.710863,.50047302,,,BUILDING STRONG AND RESILIENT COMMUNITIES,31140,Agricultural water resources,311,III.1.a. Agriculture,22000,Donor country-based NGO,Donor country-based NGO,22000,,,,2014-06-16,,"This activity aims to ensure that 1700 families in Cao Bang Province, Vietnam have sustainable livelihoods and increased food security over a 5 year period. Irrigation canal systems will be established and water user organisations set up to over-see their ongoing sustainability.",,,1,0,0,1,0,,,,,,,,0,0,0,0,2014-06-16,,,,,,,,,,,,,,,,CRS 2014 data,95050022912,0,1,0,1,1,1,1.391404,2746379776,1
