dataset,crsid,source_url,donorcode,donorname,oecd_website,agencycode,agencyname,agency_web,agency_projectspage,projecttitle,project_descrip,projectnumber,country_name,commitment_year,usd_commitment_defl_total,data_amount_unit,year,initialreport,recipientcode,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_irtc,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,grantequiv,usd_grantequiv,shortdescription,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,parentchannelcode,geography,ldcflag,ldcflagname,expectedstartdate,completiondate,longdescription,sdgfocus,keywords,gender,environment,dig,trade,rmnch,drr,nutrition,disability,ftc,pba,investmentproject,assocfinance,biodiversity,climatemitigation,climateadaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,capitalexpend,psiflag,psiaddtype,psiaddassess,psiadddevobj,id,crs_total,irrigation_title,irrigation_descr,irrigation_shortDes,irrigation_crs,irrig_tit_des,irrigation_keyword,irrigation_commitments,crs_irri_total,dup
CRS,2019000029,,104,Nordic Development Fund,,1,Nordic Development Fund,https://www.ndf.int/,https://www.ndf.int/what-we-finance/projects.html,Watershed Capacity Building for Climate Change Adaptation,Short: WATERSHED CAPACITY BUILDING FOR CLIMATE CHANGE ADAPTATION Long: The project aims to improve access to and enhance the reliability of water supply for domestic purposes and irrigation for communities living in the watersheds of Nepal river systems which are significantly vulnerable to climate change,C56,Nepal,2019,0,"USD, constant 2021",2019,3,660,10009,South & Central Asia,10016,LDCs,11,ODA Grants,4,10,110,C01,,.56301099,,,.616395,,,,,,,,,,,,,,918,,.50293797,,,WATERSHED CAPACITY BUILDING FOR CLIMATE CHANGE ADAPTATION,14015,Water resources conservation (including data collection),140,I.4. Water Supply & Sanitation,12000,Recipient Government,recipient government,12000,,,,,,The project aims to improve access to and enhance the reliability of water supply for domestic purposes and irrigation for communities living in the watersheds of Nepal river systems which are significantly vulnerable to climate change,,,1,,,,,,,,,,,,,0,2,,2019-12-31,,,,,,,,,,,,,,,,CRS 2019 data,27573569536,0,1,0,0,1,1,,595439424,1
CRS,2010000002,,104,Nordic Development Fund,,1,Nordic Development Fund,https://www.ndf.int/,https://www.ndf.int/what-we-finance/projects.html,Water and Sanitation,"Short: WATER AND SANITATION Long: The project comprises of 2 components: 1: Extension of the methane gas generation capacity at the Cambérène wastewater treatment plant in Dakar and, 2: Supply of treated wastewater for irrigation for urban horticulture areas in Pikine/Niayes and Patte d'Oie in Dakar.",C11,Senegal,2010,0,"USD, constant 2021",2016,3,269,10003,South of Sahara,10016,LDCs,11,ODA Grants,4,10,110,C01,,.074510999,,,.085028,,,,,,,,,,,,,,918,,.067380004,,,WATER AND SANITATION,14020,Water supply and sanitation - large systems,140,I.4. Water Supply & Sanitation,44002,International Development Association,IDA,44000,,,,2010-01-01,2015-01-01,"The project comprises of 2 components: 1: Extension of the methane gas generation capacity at the Cambérène wastewater treatment plant in Dakar and, 2: Supply of treated wastewater for irrigation for urban horticulture areas in Pikine/Niayes and Patte d'Oie in Dakar.",,,,,,,,,,,,,,,,2,1,,2010-03-09,,,,,,,,,,,,,,,,CRS 2016 data,30498979840,0,1,0,0,1,1,,898283072,0
CRS,2015000012,,104,Nordic Development Fund,,1,Nordic Development Fund,https://www.ndf.int/,https://www.ndf.int/what-we-finance/projects.html,Farm Income Enhancement and Forest Conservation project 2 (FIEFOC 2),"Short: FARM INCOME ENHANCEMENT AND FOREST CONSERVATION PROJECT 2 (FIEFOC 2) Long: The project's specific objectives are to improve household incomes, food security and climate resilience through development of agricultural infrastructure, specifically, 5 new small and medium scale irrigation schemes and related civil works, packaged with agribusiness development and integrated sustainable natural resources management.",C87,Uganda,2015,6602037,"USD, constant 2021",2015,1,285,10003,South of Sahara,10016,LDCs,11,ODA Grants,4,10,110,C01,5.823627,,,6.602037,,,,,,,,,,,,,,,918,5.25,,,,FARM INCOME ENHANCEMENT AND FOREST CONSERVATION PROJECT 2 (FIEFOC 2),31120,Agricultural development,311,III.1.a. Agriculture,46002,African Development Bank,Afr.DB,46000,,,,2016-01-01,2021-12-31,"The project's specific objectives are to improve household incomes, food security and climate resilience through development of agricultural infrastructure, specifically, 5 new small and medium scale irrigation schemes and related civil works, packaged with agribusiness development and integrated sustainable natural resources management.",,,1,2,,,,,,,,,,,,1,2,,2015-11-24,,,,,,,,,,,,,,,,CRS 2015 data,48037441536,0,1,0,0,1,1,6.602037,316605696,1
